full_name,nr,street,town,state,zip,cntry
"Baker Residence","221B","Baker Street","London","","NW1 6XE","uk"
"White House","1600","Pennsylvania Avenue NW","Washington","DC","20500","us"
"Empire State","350","Fifth Avenue","New York","NY","10118","us"
"Tower Bridge Office","1","Tower Bridge Road","London","","SE1 2UP","uk"
"Graceland","3764","Elvis Presley Boulevard","Memphis","TN","38116","us"
"Abbey Road Studios","3","Abbey Road","London","","NW8 9AY","uk"
"Golden Gate View","1","Lincoln Boulevard","San Francisco","CA","94129","us"
"Buckingham Palace","1","Buckingham Palace Road","London","","SW1A 1AA","uk"
"Central Park West","115","Central Park West","New York","NY","10023","us"
"Edinburgh Castle","1","Castlehill","Edinburgh","","EH1 2NG","uk"
